News,sentiment,label
"april gold down 20 cents to settle at $1,116.10/oz",0,negative
gold suffers third straight daily decline,0,negative
Gold futures edge up after two-session decline,1,positive
"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",0,negative
"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",1,positive
"gold falls by rs 25 on sluggish demand, global cues",0,negative
"Gold futures fall for the session, but gain for the week",1,positive
"Gold struggles; silver slides, base metals falter",,neutral
"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",1,positive
"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",1,positive
"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",0,negative
"gold loses 1.3%, but logs monthly gain of 6.3%",1,positive
gold recovery? here's one way to play it,1,positive
"gold prices rebound rs 350 on global cues, weak rupee",1,positive
gold rush spooks economy as trade deficit surges to $17.8 bn,1,positive
"Gold futures down at Rs 30,244 ",0,negative
"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",1,positive
gold prices slip lower as dollar remains supported,0,negative
gold to trade in 28670-29160 range: achiievers equities,,neutral
"Gold holds firm near $1,200 on dovish Fed",,neutral
Gold prices finish at a more than one-week high,1,positive
gold futures down over $20/oz ahead of settlement,0,negative
"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",1,positive
april gold up $1.40 to end the day at $554.40/oz in ny,1,positive
"Gold, Silver may trade lower today: Angel Commodities",0,negative
"KAZ Minerals lifts copper, gold guidance",1,positive
Gold little-changed after data,,neutral
germany : why gold market in germany is thriving,1,positive
"august gold ends up $1.60, or 0.2%, at $936.20",1,positive
gold futures at highest since early december,1,positive
gold futures close narrowly lower,0,negative
Gold edges up ahead of G20 meeting; set to post second weekly gain,1,positive
feb gold falls 10c to $452.20/oz in morning ny trade,0,negative
gold little changed; copper sinks,,neutral
gold swings between gains and drops on stronger dollar,1,positive
"feb. gold down $1.20 to close at $1,596.70/oz",0,negative
philly gold and silver index falls 0.5% to end at 93.53,0,negative
"Dec. gold settles at $1,269.90/oz, up $7, or 0.6%",1,positive
Gold Prices Hold onto Gains Ahead of FOMC Statement,,neutral
"December gold trades 0.8% higher at $1,289/oz.",1,positive
gold bulls push for the exits on strong dollar and lack of fear,0,negative
"gold ends 0.5% higher, at $1,159.60 an ounce",1,positive
"gold futures soar above $1,200, amid escalating conflict in yemen",1,positive
gold settles at its highest level in a week,1,positive
"gold prices rise for a third day, buoyed by geopolitical worries",1,positive
Gold holds near 3-1/2 week low as investors opt for riskier assets,0,negative
"gold ends higher, logs biggest weekly gain since 2016",1,positive
"August gold rises 0.2% at $1,257.50/oz.",1,positive
gold futures at seven-week low,0,negative
gold edges down as dollar gains on fed rate hike view,0,negative
van eck : tighter global monetary policy to support gold market,1,positive
"Gold rebounds to Rs 31,860 on firm global cues",1,positive
"december gold gains $4.10, or 0.3%, to $1,345.30/oz.",1,positive
gold prices settle at lowest level in more than a week,0,negative
"dec. gold down 30 cents at $1,310/oz on globex",0,negative
"Dec. gold settles at $1,323.70/oz, down $1.90, or 0.1%",0,negative
"Gold jumps 0.3% from settlement price after Fed minutes to $1,237.40 an ounce",1,positive
"gold lost 1% to $1,121.80 an ounce",0,negative
gold futures fall for a third straight session,0,negative
gold has best monthly performance since nov. 2009,1,positive
gold prices settle at lowest level in nearly 8 weeks,0,negative
"gold futures climb back above $1,200/oz on comex",1,positive
metals shares turn higher; gold futures still lower,0,negative
gold declines first time in seven days after greek elections,0,negative
gold gains on weaker dollar; markets brace for ecb decision,1,positive
gold holds modest loss after ppi report,0,negative
February gold contract notches highest settlement in over a week,1,positive
"August gold climbs by $10.60, or 0.9%, to settle at $1,260/oz",1,positive
"gold finishes higher at $1,103.70/oz",1,positive
debt : global debt surges - gold and silver investors' patience will soon pay off,1,positive
"gold futures open higher, as dollar drops",1,positive
gold futures close with a more than $7 loss,0,negative
"gold surrenders 11-month highs on stronger dollar, upbeat economic data",0,negative
gold edges up in electronic trade post-fed minutes,1,positive
Gold ends lower as rise in government bond yields dulls investment interest,0,negative
"silver, gold near lifetime highs, dollar loses ground",0,negative
"Gold futures down at Rs 30,568 on weak global cues",0,negative
"metals shares fall, but gold futures edge up",1,positive
august gold ends up $16.20 at $931.30 an ounce on nymex,1,positive
"gold futures fall under $400, first time since dec. 2",0,negative
gold holds modest loss after ism services data,0,negative
gold notches two-week high on expectations fed will lift rates slowly,1,positive
gold prices gain in major metros in india,1,positive
gold futures mark first gain in four sessions,1,positive
"gold sets fresh multi-decade high of $815.2/ounce, up $4.4",1,positive
gold ends at lowest level in over 2 weeks as dollar strengthens,0,negative
"gold, silver bounce on global cues, jewellers buying",1,positive
gold scores gain for second session in a row,1,positive
"gold hits new high of rs 24,350; silver sheds rs 3,100",1,positive
dec gold falls $4.10 to $462.80/oz in morning ny trade,0,negative
"Gold at 10-month low, down 5 weeks in a row",0,negative
Spot Gold rates move up today,1,positive
"gold jumps above $1,150 as u.s. dollar collapses to 3-month low",1,positive
Gold futures end higher after back-to-back drop,1,positive
natixis : look for gold to rally in september as usd weakens,1,positive
silver steals the shine as gold loses lustre,0,negative
"Dec. gold settles at $1,293.80/oz, up $8.80, or 0.7%",1,positive
gold ends at two-week low as dollar continues to strengthen,0,negative
gold futures fall 0.24% on global cues,0,negative
Gold prices to trade lower today: Angel Commodities,0,negative
gold rates: mcx goldguinea july contract declines,0,negative
gold prices may slip to rs 28745-27850: mangal keshav,0,negative
"gold issues, futures prices inch up",1,positive
"August gold settles at $1,245.50/oz, up $3.50, or 0.3%",1,positive
